,time,speed,wind,x,y,
85,42.5,0.0617650647539,0.0,240.239098079,99.3656230726,
86,43.0,0.0638826084864,0.0,240.271733181,99.3693412908,
87,43.5,0.0656985371692,0.0,240.304138622,99.3748410297,
88,44.0,0.0680383839422,0.0,240.339115456,99.3782268528,
89,44.5,0.0697084588679,0.0,240.373821063,99.3797906327,
90,45.0,0.072159319066,0.0,240.406485261,99.3813940285,
91,45.5,0.0742410646152,0.0,240.442655435,99.38610955,
92,46.0,0.0757546719006,0.0,240.480973435,99.390893017,
93,46.5,0.0780838434232,0.0,240.519190894,99.3946822716,
94,47.0,0.0800989498271,0.0,240.560541765,99.3956268993,
95,47.5,0.0804665557122,0.0,240.597686274,99.397035665,
96,48.0,0.0815818604581,0.0,240.639811243,99.4007208507,
97,48.5,0.0833412964715,0.0,240.680898214,99.4053863544,
98,49.0,0.0855779444268,0.0,240.724855304,99.4075055692,
99,49.5,0.087021217268,0.0,240.764523029,99.4083093531,
100,50.0,0.0874325397953,0.0,240.809832244,99.4094896956,
101,50.5,0.0882207906578,0.0,240.853640891,99.4126045973,
102,51.0,0.0892079951417,0.0,240.899574671,99.4153788308,
103,51.5,0.0900770772266,0.0,240.94082431,99.4179306779,
104,52.0,0.0923090651977,0.0,240.986596675,99.4184504236,
105,52.5,0.0935490379086,0.0,241.035187671,99.4188019668,
106,53.0,0.0932191016121,0.0,241.082040947,99.420071527,
107,53.5,0.0936952954409,0.0,241.130533574,99.4230055711,
108,54.0,0.0949530406637,0.0,241.173691067,99.4241967343,
109,54.5,0.0966000546635,0.0,241.223627082,99.4241536161,
110,55.0,0.0974861120117,0.0,241.272329959,99.4236162589,
111,55.5,0.0966554448074,0.0,241.32289769,99.425046505,
112,56.0,0.0967366771736,0.0,241.367274749,99.4263418262,
113,56.5,0.0988494319867,0.0,241.419909444,99.4271918789,
114,57.0,0.0998485704146,0.0,241.467803274,99.4264689218,
115,57.5,0.0991577193007,0.0,241.515680484,99.4255055229,
116,58.0,0.0985717970239,0.0,241.56507141,99.4255825289,
117,58.5,0.0985268602145,0.0,241.614394569,99.4270352522,
118,59.0,0.100104760206,0.0,241.666259024,99.4269507835,
119,59.5,0.101285904859,0.0,241.716842736,99.426047005,
120,60.0,0.101122250811,0.0,241.763654481,99.4249453134,
121,60.5,0.100930248439,0.0,241.816338522,99.4242735551,
122,61.0,0.101457286453,0.0,241.866714611,99.4241712324,
123,61.5,0.101309297603,0.0,241.919261369,99.4244842521,
124,62.0,0.102339810453,0.0,241.966066511,99.4232190718,
125,62.5,0.104073412262,0.0,242.019731151,99.4216156482,
126,63.0,0.103492257583,0.0,242.071636808,99.4204176436,
127,63.5,0.102099292112,0.0,242.125197244,99.4197641809,
128,64.0,0.102301107165,0.0,242.176166288,99.418971349,
129,64.5,0.103593186154,0.0,242.227885533,99.4179545137,
130,65.0,0.105129870359,0.0,242.278371312,99.4157819812,
131,65.5,0.105155711034,0.0,242.333187732,99.414216194,
132,66.0,0.10371225826,0.0,242.385348517,99.4131486859,
133,66.5,0.103940277937,0.0,242.433185195,99.4118619959,
134,67.0,0.105969733034,0.0,242.487710335,99.4097658394,
135,67.5,0.105615141881,0.0,242.540669357,99.407576947,
136,68.0,0.104748605555,0.0,242.595340617,99.4056865576,
